الْحَيُّ	El-Hayy	Ölmeyen, diri olan	Al-Haiy	der aus sich selbst Lebende	Al-Hayy	The Ever Living One
الْقَيُّومُ	El-Kayyûm	Bütün eşya kendi varlığı ile kaim olan	Al-Qayum	der allein Stehende, der Ewige	Al-Qayyum	The Self-Existing One
الْوَاجِدُ	El-Vâcid	En zengin olan	Al-Waadschid	der alles Bekommende und Findende	Al-Wajid	The Finder
الْمَاجِدُ	El-Mâcid	Nimetleri ve ihsanı sonsuz olan	Al-Maadschid	der Ruhmvolle	Al-Májid	The Glorious
الْواحِدُ	El-Vâhid	Zatında ortağı olmayan tek	Al-Waahid	der Eine, der niemanden neben sich hat	Al-Wahid	The Only One
الصَّمَدُ	El-Samed	Herşeyin kendisine muhtaç olduğu zat	As-Samad	der von allem und jedem Unabhängige	As-Samad	The Satisfier of All Needs
الْقَادِرُ	El-Kādir	Kudret sahibi	Al-Quadir	der zu allem Fähige, der Besitzer aller Macht und Autorität	Al-Qadir	The All Powerful
الْمُقْتَدِرُ	El-Muktedir	Herşeye gücü yeten	Al-Muqtadir	der alles Bestimmende	Al-Muqtadir	The Creator of All Power
الْمُقَدِّمُ	El-Mukaddim	Dilediğini öne alan	Al-Muqaddim	der Voranstellende	Al-Muqaddim	The Expediter
الْمُؤَخِّرُ	El-Mu'ahhir	İstediğini arkaya bırakan	Al-Mu'achir	der Aufschiebende	Al-Mu’akhkhir	The Delayer
الأوَّلُ	El-Evvel	Varlığının başlangıcı olmayan	Al-Awwal	der Erste ohne Beginn	Al-Awwal	The First
الآخِرُ	El-Âhir	Varlığının sonu olmayan	Al-Aachir	der Letzte ohne Ende	Al-Akhir	The Last
الظَّاهِرُ	Ez-Zâhir	Varlığı, kudretiyle aşikar olan	As-Saahir	der Offenbare, auf dessen Existenz alles Geschaffene klar hinweist	Az-Zahir	The Manifest One
الْبَاطِنُ	El-Bâtın	Mahiyeti gizli olan	Al-Baatin	der Verborgene, den niemand wirklich begreifen kann	Al-Batin	The Hidden One
الْوَالِي	El-Vâlî	Kainatın tek yöneticisi	Al-Waali	der einzige und absolute Herrscher	Al-Walí	The Protecting Friend
الْمُتَعَالِي	El-Müteâli	İzzet ve şeref bakımından en yüce olan	Al-Muta'aali	der Reine, der Hohe	Al-Muta’ali	The Supreme One
الْبَرُّ	El-Berr	Bütün iyilik ve güzelliğin sahibi	Al-Barr	der Gute	Al-Barr	The Doer of Good
التَّوابُ	El-Tevvâb	Tövbeleri kabul eden	Al-Tawwab	der die Reue seiner Diener Annehmende	At-Tawwab	The Guide to Repentance
الْمُنْتَقِمُ	El-Müntakim	Suçluları gerektiği gibi cezalandıran	Al-Muntaqim	der gerechte Vergelter	Al-Muntaqim	The Avenger
العَفُوُّ	El-Afüv	Affeden	Al-Afwu	der Vergeber der Sünden	Al-Afu	The Forgiver
الرَّؤُوفُ	Er-Ra'ûf	Çok şefkatli olan	Ar-Ra'uf	der Mitleidige	Ar-Ra’uf	The Clement
مَالِكُالْمُلْكِ	Mâlik-ül Mülk	Kainatın tek sahibi	Malik-ul-Mulk	Inhaber aller Reichtümer 	Malik al-Mulk	The Owner of All
ذُوالْجَلاَلِوَ الإكْرَامِ	Zülcelâl-i vel-İkrâm	Büyüklük ve kerem sahibi	Sul-Dschalali-wal-Ikram	derjenige, dem Majestät und Ehre gebühren	Dhul-Jalali Wal-Ikram	The Lord of Majesty and Bounty
الْمُقْسِطُ	El-Muksit	Adaletle hükmeden	Al-Muqsit	der unparteiisch Richtende	Al-Muqsit	The Equitable One
الْجَامِعُ	El-Câmi	Güzellikleri zatında, kullarını ahırette toplayan	Al-Dschaami'	der Versammelnde, der alle Menschen am jüngsten Tag versammeln wird	Al-Jami	The Gatherer
الْغَنِيُّ	El-Ganî	Zenginlikte herşeyin kendisine muhtaç olduğu zat	Al-Ghany	der Reiche, der niemanden braucht	Al-Ghani	The Rich One
الْمُغْنِي	El-Muğnî	Dilediğini zengin kılan	Al-Mughni	der Verleiher der Reichtümer	Al-Mughni	The Enricher
ُالمَانِعُ	El-Mâni	Kötülüklere mani olan	Al-Mani'	der Zurückweisende	Al-Mani’	The Preventer of Harm
الضَّارَّ	Ed-Dâr	Zarar veren şeyleri de yaratan	Ad-Dhar	der Schaden zufügende	Ad-Darr	The Creator of The Harmful
النَّافِعُ	En-Nâfi	Fayda veren şeyleri yaratan	An-Naafi'	der Vorteil gebende	An-Nafi	The Creator of Good
النُّورُ	En-Nûr	Nurlandıran	An-Nur	das Licht	An-Nur	The Light
الْهَادِي	El-Hâdî	Hidayete erdiren	Al-Hadi	der Leitung gebende	Al-Hadi	The Guide
الْبَدِيعُ	El-Bedî	Örneksiz, eşsiz yaratan	Al-Badi'	der Schöpfer des Neuen	Al-Badi	The Originator
الْبَاقِِي	El-Bâkî	Ebedi olan	Al-Baaqi	der ewig Bleibende	Al-Baqi	The Everlasting One
الْوَارِثُ	El-Vâris	Herşey yok olunca diri kalacak olan	Al-Waarith	der einzige Erbe, denn außer ihm ist nichts beständig	Al-Warith	The Inheritor of All
الرَّشِيدُ	Er-Reşîd	Doğru yola ileten	Ar-Raschied	der Führung gebende	Ar-Rashid	The Righteous Teacher
الصَّبُورُ	Es-Sabûr	Çok sabırlı olan	As-Sabur	der Geduldige.	As-Sabur	The Patient One
